classe;f_m_k_MPa;f_v_k_MPa;f_c90_k_MPa;E_0_mean_MPa;rho_k_kgm3
C16;16;1.8;2.2;8000;310
C18;18;2.0;2.2;9000;320
C20;20;2.2;2.3;9500;330
C22;22;2.4;2.4;10000;340
C24;24;2.5;2.5;11000;350
C27;27;2.8;2.6;11500;370
C30;30;3.0;2.7;12000;380
C35;35;3.4;2.8;13000;400
C40;40;3.8;2.9;14000;420
D18;18;3.4;7.5;9500;475
D24;24;4.0;7.8;10000;485
D30;30;5.0;8.0;11000;530
D35;35;6.0;8.1;12000;560
D40;40;6.3;8.3;13000;590
D50;50;7.8;9.3;14000;650
D60;60;9.0;10.5;17000;700
D70;70;10.5;13.5;20000;900
GL24h;24;2.7;2.5;11600;365
GL28h;28;3.2;2.5;12600;380
GL32h;32;3.6;2.5;13700;430
GL36h;36;4.0;2.5;14700;450
GL24c;24;2.7;2.5;11500;355
GL28c;28;3.2;2.5;12500;380
GL32c;32;3.6;2.5;13500;410
GL36c;36;4.0;2.5;14500;450
GT18;18;1.8;2.2;9000;320
GT24;24;2.5;2.5;11000;350
