famille;classe_service;duree_charge;k_mod
bois_massif;1;permanent;0.60
bois_massif;1;long_terme;0.70
bois_massif;1;moyen_terme;0.80
bois_massif;1;court_terme;0.90
bois_massif;1;instantane;1.10
bois_massif;2;permanent;0.60
bois_massif;2;long_terme;0.70
bois_massif;2;moyen_terme;0.80
bois_massif;2;court_terme;0.90
bois_massif;2;instantane;1.10
bois_massif;3;permanent;0.50
bois_massif;3;long_terme;0.55
bois_massif;3;moyen_terme;0.65
bois_massif;3;court_terme;0.70
bois_massif;3;instantane;0.90
bois_lamelle_colle;1;permanent;0.60
bois_lamelle_colle;1;long_terme;0.70
bois_lamelle_colle;1;moyen_terme;0.80
bois_lamelle_colle;1;court_terme;0.90
bois_lamelle_colle;1;instantane;1.10
bois_lamelle_colle;2;permanent;0.60
bois_lamelle_colle;2;long_terme;0.70
bois_lamelle_colle;2;moyen_terme;0.80
bois_lamelle_colle;2;court_terme;0.90
bois_lamelle_colle;2;instantane;1.10
bois_lamelle_colle;3;permanent;0.50
bois_lamelle_colle;3;long_terme;0.55
bois_lamelle_colle;3;moyen_terme;0.65
bois_lamelle_colle;3;court_terme;0.70
bois_lamelle_colle;3;instantane;0.90
bois_reconstitue;1;permanent;0.60
bois_reconstitue;1;long_terme;0.70
bois_reconstitue;1;moyen_terme;0.80
bois_reconstitue;1;court_terme;0.90
bois_reconstitue;1;instantane;1.10
bois_reconstitue;2;permanent;0.60
bois_reconstitue;2;long_terme;0.70
bois_reconstitue;2;moyen_terme;0.80
bois_reconstitue;2;court_terme;0.90
bois_reconstitue;2;instantane;1.10
bois_reconstitue;3;permanent;0.50
bois_reconstitue;3;long_terme;0.55
bois_reconstitue;3;moyen_terme;0.65
bois_reconstitue;3;court_terme;0.70
bois_reconstitue;3;instantane;0.90
